genotype,end_of_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE
1802,NA,NA,NA
1803,NA,NA,NA
1804,NA,NA,NA
1805,156.98,78.33,47.97
1806,NA,NA,NA
1807,165.23,129.8,40.29
1808,162.18,95.96,39.58
1809,165.58,136.26,34.51
181,NA,107.83,37.03
1810,155.88,117.76,36.2
1811,154.6,113.25,39.12
1812,154.94,122.97,44.14
1813,154.56,119.48,39.34
1814,154.94,112.95,37.45
1815,163.88,114.92,44.85
1816,NA,NA,NA
1817,159.13,NA,42.2
1818,NA,NA,NA
1819,NA,NA,NA
182,NA,NA,NA
1820,164.94,129.67,38.45
1822,161.56,127.09,38.01
1823,166.08,121.81,37.41
1824,159.32,121.45,43.92
1825,160.6,137.05,43.93
1826,160.32,112.96,40.38
1827,NA,NA,NA
1828,NA,NA,42.07
1829,NA,NA,NA
183,NA,NA,NA
1830,158.94,115.64,45.84
1831,160.98,94.3,40.16
1832,163.32,97.58,38.53
1833,160.7,111.12,39.13
1834,NA,NA,NA
1835,NA,NA,NA
1836,NA,NA,NA
1837,159.94,124.8,47.6
1838,161.7,129.75,36.15
1839,157.6,138.88,45.35
1840,163.08,127.15,39.99
1841,155.7,119.5,47.39
1842,NA,NA,NA
1843,NA,NA,NA
1844,163.58,122.33,41.4
1845,NA,NA,NA
1846,163.24,138.17,42.09
1847,161.15,120.08,46.8
1848,165.15,115.84,36.15
1849,168.94,127.77,35.55
185,NA,NA,NA
1850,NA,NA,NA
1851,161.44,131.93,38.56
1852,164.84,124.58,35.66
1853,163.32,108.43,38.33
1854,166.18,113.3,36.18
1855,164.94,98.92,41.68
1856,169.43,139.93,40.85
1857,NA,NA,NA
1858,169.43,133.05,34.1
1859,167.07,112.17,34.84
186,NA,NA,NA
1860,166.43,141.91,41.5
1861,169.26,122.76,37.34
1862,167.32,127.99,38.75
1863,166.7,130.15,36.76
1864,NA,NA,NA
1865,NA,NA,NA
1866,167.7,106.94,39.12
1867,165.46,96.6,30.2
1868,167.32,130.36,39.12
1869,167.32,106.65,40.54
187,NA,NA,NA
1870,167.08,110.45,35.13
1871,NA,79.14,36.35
1872,159.58,122.43,38.9
1873,NA,NA,NA
1874,NA,NA,NA
1875,159.18,122.07,37.26
1876,166.46,134.47,38.87
1877,163.08,97.42,41.39
1878,NA,NA,NA
1879,158.03,121.58,41.2
188,NA,NA,NA
1880,156.21,121.07,44.03
1881,158.6,116.81,41.44
1882,NA,NA,NA
1883,168.46,121.31,34.37
1884,172.08,126.75,33.74
1885,162.32,105.62,32.55
1886,167.26,123.91,39.55
1887,162.81,135.71,40.49
1888,159.7,124.47,39.93
189,NA,105.63,32.57
1890,166.48,137.93,36.4
