accenumb,agent_id,doi,days_to_heading,thousand_kernel_weight,plant_height,name,description,campaign
IG 108762,AW_28784,NA,126,NA,88,CE9433,NA,1993-1994
IG 108763,AW_23129,NA,126,NA,103,CE9433,NA,1993-1994
IG 108764,AW_28785,NA,121,NA,98,CE9433,NA,1993-1994
IG 108765,AW_23130,NA,129,NA,83,CE9434,NA,1993-1994
IG 108766,AW_20315,NA,137,NA,78,CE9434,NA,1993-1994
IG 108767,AW_25948,NA,137,NA,85,CE9434,NA,1993-1994
IG 108768,AW_20316,NA,132,NA,103,CE9433,NA,1993-1994
IG 108769,AW_28786,NA,126,NA,88,CE9434,NA,1993-1994
IG 108770,AW_34504,NA,126,NA,73,CE9434,NA,1993-1994
IG 108771,AW_34505,NA,129,NA,98,CE9434,NA,1993-1994
IG 108772,AW_17516,NA,126,NA,83,CE9434,NA,1993-1994
IG 108773,AW_37263,NA,126,NA,75,CE9433,NA,1993-1994
IG 108774,AW_20317,NA,126,NA,88,CE9434,NA,1993-1994
IG 108775,AW_20318,NA,129,NA,83,CE9434,NA,1993-1994
IG 108776,AW_37264,NA,126,NA,83,CE9433,NA,1993-1994
IG 108777,AW_37265,NA,126,NA,93,CE9433,NA,1993-1994
IG 108778,AW_23131,NA,121,NA,73,CE9433,NA,1993-1994
IG 108779,AW_31737,NA,126,NA,73,CE9433,NA,1993-1994
IG 108780,AW_17517,NA,126,NA,83,CE9433,NA,1993-1994
IG 108782,AW_25950,NA,121,NA,83,CE9433,NA,1993-1994
IG 108796,AW_28787,NA,126,NA,88,CE9433,NA,1993-1994
IG 108797,AW_37266,NA,126,NA,100,CE9434,NA,1993-1994
IG 108798,AW_31738,NA,126,NA,70,CE9433,NA,1993-1994
IG 108799,AW_25951,NA,126,NA,93,CE9433,NA,1993-1994
IG 108800,AW_17518,NA,126,NA,83,CE9433,NA,1993-1994
IG 108801,AW_25952,NA,126,NA,93,CE9433,NA,1993-1994
IG 108802,AW_23132,NA,129,NA,103,CE9434,NA,1993-1994
IG 108803,AW_25953,NA,134,NA,93,CE9433,NA,1993-1994
IG 108814,AW_20319,NA,126,NA,93,CE9433,NA,1993-1994
IG 108815,AW_34506,NA,129,NA,98,CE9433,NA,1993-1994
IG 108818,AW_28788,NA,126,NA,98,CE9434,NA,1993-1994
IG 108819,AW_25954,NA,134,NA,78,CE9433,NA,1993-1994
IG 108820,AW_17519,NA,126,NA,93,CE9434,NA,1993-1994
IG 108821,AW_20320,NA,126,NA,88,CE9433,NA,1993-1994
IG 108823,AW_20322,NA,134,NA,83,CE9433,NA,1993-1994
IG 108824,AW_28789,NA,129,NA,83,CE9434,NA,1993-1994
IG 108825,AW_17520,NA,126,NA,95,CE9434,NA,1993-1994
IG 108826,AW_17521,NA,129,NA,73,CE9433,NA,1993-1994
IG 108827,AW_31739,NA,137,NA,95,CE9434,NA,1993-1994
IG 108831,AW_37267,NA,137,NA,90,CE9434,NA,1993-1994
IG 108894,AW_17522,NA,126,NA,80,CE9433,NA,1993-1994
IG 108895,AW_31740,NA,137,NA,83,CE9434,NA,1993-1994
IG 108896,AW_31741,NA,129,NA,78,CE9433,NA,1993-1994
IG 108897,AW_31742,NA,126,NA,85,CE9433,NA,1993-1994
IG 110706,AW_23133,NA,130,NA,68,CE9402,NA,1993-1994
IG 110706,AW_23133,NA,136,NA,70,CE9402,NA,1993-1994
IG 110706,AW_23133,NA,130,NA,75,CE9402,NA,1993-1994
IG 110706,AW_23133,NA,134,NA,75,CE9402,NA,1993-1994
IG 110706,AW_23133,NA,130,NA,78,CE9402,NA,1993-1994
IG 110706,AW_23133,NA,134,NA,78,CE9402,NA,1993-1994
IG 44698,AW_34914,NA,140,NA,120,CE9428,NA,1993-1994
